ID,Data,Giełda,Aktywo,Typ,Ilość,Cena USD,Wartość USD,Kurs USD/PLN,Wartość PLN,Prowizja USD,Prowizja PLN,Waluta prowizji
47,2024-11-23,Binance,SOL,Sprzedaż,0.095,258.25,24.53375,4.1752,102.43331300000001,0.0,0.0,USD
48,2025-08-24,Binance,AVAX,Kupno,11.33,26.46,299.7918,3.6786,1102.81411548,0.0,0.0,USD
49,2025-08-25,Binance,AVAX,Sprzedaż,11.31,24.46,276.6426,3.6421,1007.56001346,0.0,0.0,USD
50,2024-02-28,Binance,JASMY,Kupno,8119.5,0.017738,144.023691,3.9922,574.9713792102001,0.0,0.0,USD
51,2024-03-04,Binance,JASMY,Kupno,8288.0,0.024131,199.997728,3.982,796.390952896,0.0,0.0,USD
52,2024-03-30,Binance,JASMY,Sprzedaż,16392.600000000002,0.020947,343.37579220000003,3.9886,1369.58868476892,0.0,0.0,USD
53,2024-03-10,Binance,API3,Kupno,53.9,3.715,200.2385,3.9392,788.7794991999999,0.0,0.0,USD
54,2024-03-15,Binance,API3,Kupno,58.17,3.438,199.98846,3.9392,787.794541632,0.0,0.0,USD
55,2024-03-17,Binance,API3,Kupno,21.880000000000003,3.1455022851919554,68.82359,3.9392,271.109885728,0.0,0.0,USD
56,2024-04-12,Binance,API3,Sprzedaż,133.84,2.5810000000000004,345.44104000000004,3.9983,1381.1769102320002,0.0,0.0,USD
57,2023-11-20,Binance,SUPER,Kupno,680.0,0.1469533823529412,99.92830000000001,3.9938,399.09364454,0.0,0.0,USD
58,2024-03-17,Binance,ARB,Kupno,36.8,1.6855000000000002,62.0264,3.9392,244.33439488000002,0.0,0.0,USD
59,2024-03-17,Binance,ARB,Kupno,36.6,1.6896,61.83936,3.9392,243.597606912,0.0,0.0,USD
60,2024-03-30,Binance,ARB,Sprzedaż,73.3,1.6613,121.77328999999999,3.9886,485.70494449399996,0.0,0.0,USD
61,2024-03-04,Binance,TIA,Kupno,29.1,15.429999999999998,449.013,3.982,1787.969766,0.0,0.0,USD
62,2024-03-16,Binance,TIA,Kupno,7.3,13.370000000000001,97.601,3.9392,384.4698592,0.0,0.0,USD
63,2024-04-12,Binance,TIA,Sprzedaż,36.4,8.97,326.50800000000004,3.9983,1305.4769364,0.0,0.0,USD
64,2023-11-20,Binance,BEAMX,Kupno,14204.0,0.0088,124.99520000000001,3.9938,499.20582976000003,0.0,0.0,USD
65,2023-12-06,Binance,BEAMX,Sprzedaż,14194.0,0.015357917288995349,217.990278,4.0202,876.3645156156,0.0,0.0,USD
66,2024-03-04,Binance,MANTA,Kupno,181.8,2.7502145214521447,499.9889999999999,3.982,1990.9561979999999,0.0,0.0,USD
67,2024-03-17,Binance,MANTA,Kupno,27.2,3.032,82.4704,3.9392,324.86739968,0.0,0.0,USD
68,2024-04-12,Binance,MANTA,Sprzedaż,209.1,2.0900000000000003,437.01900000000006,3.9983,1747.3330677000001,0.0,0.0,USD
69,2024-03-05,Binance,JUP,Kupno,283.5,0.5261504761904762,149.16366,3.9838,594.2381887079999,0.0,0.0,USD
70,2024-03-05,Binance,JUP,Kupno,327.4,0.5268358582773367,172.48606000000004,3.9838,687.1499658280002,0.0,0.0,USD
71,2024-03-16,Binance,JUP,Sprzedaż,200.0,1.4953661,299.07322,3.9392,1178.109228224,0.0,0.0,USD
72,2024-03-05,Binance,WIF,Kupno,153.35,1.2983,199.094305,3.9838,793.151892259,0.0,0.0,USD
73,2024-03-11,Binance,WIF,Sprzedaż,153.19,2.0858,319.52370199999996,3.9262,1254.5139587923998,0.0,0.0,USD
74,2025-10-27,Manual,CRCL,Kupno,0.3,136.01,40.803,3.6395,148.50251849999998,0.0,0.0,USD
75,2025-10-24,Manual,BP,Kupno,4.0,34.72,138.88,3.6481,506.648128,0.0,0.0,USD
76,2025-10-24,Manual,RIG,Kupno,20.0,4.0,80.0,3.6481,291.848,0.0,0.0,USD
